所属产品,所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段,关键词
Dyness API,Dyness Open API/工商业储能/系统设置,TC123 工商业系统设置-operateMode越界,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""7""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC123,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/系统设置,TC124 工商业系统设置-powerMargin越界小,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""powerMargin"": ""1.4""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC124,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/系统设置,TC125 工商业系统设置-powerMargin越界大,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""powerMargin"": ""10.1""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC125,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/电池参数,TC131 工商业电池参数-socProtectEnable非法,已获取访问凭证,"1. 调用 POST /v2/SetCommerceBatterySetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""socProtectEnable"": ""2""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC131,工商业储能/电池参数,工商业"
Dyness API,Dyness Open API/工商业储能/电池参数,TC132 工商业电池参数-offGridCutoffSoc最小值,已获取访问凭证,"1. 调用 POST /v2/SetCommerceBatterySetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""offGridCutoffSoc"": ""5""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC132,工商业储能/电池参数,工商业"
Dyness API,Dyness Open API/工商业储能/电池参数,TC133 工商业电池参数-offGridCutoffSoc最大值,已获取访问凭证,"1. 调用 POST /v2/SetCommerceBatterySetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""offGridCutoffSoc"": ""50""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC133,工商业储能/电池参数,工商业"
Dyness API,Dyness Open API/工商业储能/电池参数,TC134 工商业电池参数-offGridCutoffSoc越界小,已获取访问凭证,"1. 调用 POST /v2/SetCommerceBatterySetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""offGridCutoffSoc"": ""4""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC134,工商业储能/电池参数,工商业"
Dyness API,Dyness Open API/工商业储能/电池参数,TC135 工商业电池参数-offGridCutoffSoc越界大,已获取访问凭证,"1. 调用 POST /v2/SetCommerceBatterySetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""offGridCutoffSoc"": ""51""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC135,工商业储能/电池参数,工商业"
Dyness API,Dyness Open API/工商业储能/电池参数,TC136 工商业电池参数-maxChargeEndSoc越界,已获取访问凭证,"1. 调用 POST /v2/SetCommerceBatterySetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""maxChargeEndSoc"": ""101""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC136,工商业储能/电池参数,工商业"
Dyness API,Dyness Open API/工商业储能/电池参数,TC137 工商业电池参数-backupPowerSocEnable非法,已获取访问凭证,"1. 调用 POST /v2/SetCommerceBatterySetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""backupPowerSocEnable"": ""2""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC137,工商业储能/电池参数,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC141 工商业运行模式-operateMode最小值,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""0""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC141,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC142 工商业运行模式-operateMode最大值,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""5""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC142,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC143 工商业运行模式-operateMode越界,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""6""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC143,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC144 工商业运行模式-operateModeC260越界,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateModeC260"": ""7""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC144,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC145 工商业运行模式-threePartyVppOperateMode越界,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""threePartyVppOperateMode"": ""4""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC145,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC146 工商业运行模式-timingMode越界,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""timingMode"": ""3""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC146,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/峰谷时段,TC151 工商业峰谷时段-month最小值,已获取访问凭证,"1. 调用 POST /v2/SetCommercePeakValleyPeriodSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""month"": ""1""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC151,工商业储能/峰谷时段,工商业"
Dyness API,Dyness Open API/工商业储能/峰谷时段,TC152 工商业峰谷时段-month最大值,已获取访问凭证,"1. 调用 POST /v2/SetCommercePeakValleyPeriodSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""month"": ""12""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC152,工商业储能/峰谷时段,工商业"
Dyness API,Dyness Open API/工商业储能/峰谷时段,TC153 工商业峰谷时段-month越界,已获取访问凭证,"1. 调用 POST /v2/SetCommercePeakValleyPeriodSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""month"": ""13""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC153,工商业储能/峰谷时段,工商业"
Dyness API,Dyness Open API/工商业储能/峰谷时段,TC154 工商业峰谷时段-priceGroup越界,已获取访问凭证,"1. 调用 POST /v2/SetCommercePeakValleyPeriodSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""priceGroup"": ""5""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC154,工商业储能/峰谷时段,工商业"
Dyness API,Dyness Open API/工商业储能/峰谷时段,TC155 工商业峰谷时段-timeType越界,已获取访问凭证,"1. 调用 POST /v2/SetCommercePeakValleyPeriodSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""timeType"": ""4""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC155,工商业储能/峰谷时段,工商业"
Dyness API,Dyness Open API/工商业储能/峰谷时段,TC156 工商业峰谷时段-timeType越界小,已获取访问凭证,"1. 调用 POST /v2/SetCommercePeakValleyPeriodSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""timeType"": ""-2""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",2,接口测试,功能测试,"TC156,工商业储能/峰谷时段,工商业"
Dyness API,Dyness Open API/工商业储能/高级设置,TC161 工商业高级设置-reset越界小,已获取访问凭证,"1. 调用 POST /v2/SetCommerceAdvancedSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""reset"": ""3""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",4,接口测试,功能测试,"TC161,工商业储能/高级设置,工商业,[危险]"
Dyness API,Dyness Open API/工商业储能/高级设置,TC162 工商业高级设置-reset越界大,已获取访问凭证,"1. 调用 POST /v2/SetCommerceAdvancedSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""reset"": ""7""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",4,接口测试,功能测试,"TC162,工商业储能/高级设置,工商业,[危险]"
Dyness API,Dyness Open API/工商业储能/高级设置,TC163 工商业高级设置-faultReset非法,已获取访问凭证,"1. 调用 POST /v2/SetCommerceAdvancedSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""faultReset"": ""9""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",4,接口测试,功能测试,"TC163,工商业储能/高级设置,工商业,[危险]"
Dyness API,Dyness Open API/工商业储能/高级设置,TC164 工商业高级设置-systemReset正常值,已获取访问凭证,"1. 调用 POST /v2/SetCommerceAdvancedSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""systemReset"": ""1""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",4,接口测试,功能测试,"TC164,工商业储能/高级设置,工商业,[危险]"
Dyness API,Dyness Open API/工商业储能/高级设置,TC165 工商业高级设置-systemReset越界小,已获取访问凭证,"1. 调用 POST /v2/SetCommerceAdvancedSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""systemReset"": ""0""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",4,接口测试,功能测试,"TC165,工商业储能/高级设置,工商业,[危险]"
Dyness API,Dyness Open API/工商业储能/高级设置,TC166 工商业高级设置-systemReset越界大,已获取访问凭证,"1. 调用 POST /v2/SetCommerceAdvancedSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""systemReset"": ""2""
}","1. HTTP 状态码 = 200
2. 业务码 code = 500（参数错误）",4,接口测试,功能测试,"TC166,工商业储能/高级设置,工商业,[危险]"
Dyness API,Dyness Open API/工商业储能/系统设置,TC171 工商业系统设置-controlMode=0,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""controlMode"": ""0""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC171,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/系统设置,TC172 工商业系统设置-controlMode=1,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""controlMode"": ""1""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC172,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/系统设置,TC173 工商业系统设置-controlMode=2,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""controlMode"": ""2""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC173,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/系统设置,TC174 工商业系统设置-controlWay=0,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""controlMode"": ""1"",
  ""controlWay"": ""0""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC174,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/系统设置,TC175 工商业系统设置-controlWay=1,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""controlMode"": ""1"",
  ""controlWay"": ""1""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC175,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/系统设置,TC176 工商业系统设置-controlWay=2,已获取访问凭证,"1. 调用 POST /v2/SetCommerceSystemSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""controlMode"": ""1"",
  ""controlWay"": ""2""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC176,工商业储能/系统设置,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC177 工商业运行模式-operateMode=0,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""0""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC177,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC178 工商业运行模式-operateMode=1,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""1""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC178,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC179 工商业运行模式-operateMode=2,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""2""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC179,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC180 工商业运行模式-operateMode=3,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""3""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC180,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC181 工商业运行模式-operateMode=4,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""4""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC181,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC182 工商业运行模式-operateMode=5,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""5""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC182,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC183 工商业运行模式-threePartyVppOperateMode=0,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""0"",
  ""threePartyVppOperateMode"": ""0""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC183,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC184 工商业运行模式-threePartyVppOperateMode=1,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""0"",
  ""threePartyVppOperateMode"": ""1""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC184,工商业储能/运行模式,工商业"
Dyness API,Dyness Open API/工商业储能/运行模式,TC185 工商业运行模式-threePartyVppOperateMode=2,已获取访问凭证,"1. 调用 POST /v2/SetCommerceRunModeSetting
2. 请求体：{
  ""deviceSn"": ""{{deviceSn}}"",
  ""collectorSn"": ""{{collectorSn}}"",
  ""operateMode"": ""0"",
  ""threePartyVppOperateMode"": ""2""
}","1. HTTP 状态码 = 200
2. 业务码 code = 200",2,接口测试,功能测试,"TC185,工商业储能/运行模式,工商业"
